tanggal,pasar manis,pasar wage
2018-01-12,24000.0,22500.0
2018-01-15,24000.0,22500.0
2018-01-16,24000.0,22500.0
2018-01-17,24000.0,22500.0
2018-01-18,24000.0,22500.0
2018-01-19,24000.0,22500.0
2018-01-22,22000.0,22500.0
2018-01-23,22000.0,22500.0
2018-01-24,22000.0,22500.0
2018-01-25,22000.0,22500.0
2018-01-26,22000.0,22500.0
2018-01-29,22000.0,22500.0
2018-01-30,24000.0,22500.0
2018-01-31,24000.0,22500.0
2018-02-01,24000.0,23500.0
2018-02-02,23000.0,23500.0
2018-02-05,23500.0,26000.0
2018-02-06,24500.0,26000.0
2018-02-07,24500.0,26000.0
2018-02-08,24500.0,25000.0
2018-02-09,25000.0,25000.0
2018-02-12,28000.0,27000.0
2018-02-13,28000.0,27000.0
2018-02-14,27000.0,27000.0
2018-02-15,28000.0,27000.0
2018-02-16,28000.0,27000.0
2018-02-19,30000.0,27000.0
2018-02-20,31000.0,27000.0
2018-02-21,31000.0,27000.0
2018-02-22,31000.0,27000.0
2018-02-23,31000.0,27000.0
2018-02-26,30000.0,27000.0
2018-02-27,30000.0,27000.0
2018-02-28,30000.0,27000.0
2018-03-01,29000.0,27000.0
2018-03-02,30000.0,28000.0
2018-03-05,30000.0,27000.0
2018-03-06,30000.0,29000.0
2018-03-07,32500.0,27000.0
2018-03-08,31000.0,29000.0
2018-03-09,31000.0,29000.0
2018-03-12,35000.0,29000.0
2018-03-13,35000.0,31000.0
2018-03-14,35000.0,31000.0
2018-03-15,35000.0,31000.0
2018-03-16,35000.0,31000.0
2018-03-19,33500.0,31000.0
2018-03-20,33500.0,31000.0
2018-03-21,35000.0,31000.0
2018-03-22,35000.0,31000.0
2018-03-23,35000.0,30000.0
2018-03-26,35000.0,32000.0
2018-03-27,35000.0,32000.0
2018-03-28,35000.0,30000.0
2018-03-29,35000.0,30000.0
2018-03-30,35000.0,32000.0
2018-04-02,33500.0,32000.0
2018-04-03,33500.0,32000.0
2018-04-04,35000.0,35000.0
2018-04-05,35000.0,32000.0
2018-04-06,37500.0,32000.0
2018-04-09,40000.0,33500.0
2018-04-10,33500.0,33500.0
2018-04-11,40000.0,34500.0
2018-04-12,40000.0,34500.0
2018-04-13,40000.0,34500.0
2018-04-16,35000.0,33500.0
2018-04-17,35000.0,33500.0
2018-04-18,35000.0,33500.0
2018-04-19,35000.0,33500.0
2018-04-20,35000.0,33500.0
2018-04-23,35000.0,33500.0
2018-04-24,35000.0,33500.0
2018-04-25,35000.0,33500.0
2018-04-26,35000.0,34500.0
2018-04-27,35000.0,34500.0
2018-04-30,37500.0,33500.0
2018-05-01,37500.0,33500.0
2018-05-02,40000.0,33500.0
2018-05-03,35000.0,33500.0
2018-05-04,35000.0,34500.0
2018-05-07,32500.0,34500.0
2018-05-08,37500.0,35500.0
2018-05-09,37500.0,31500.0
2018-05-10,40000.0,31500.0
2018-05-11,40000.0,34500.0
2018-05-14,35000.0,34500.0
2018-05-15,37500.0,34500.0
2018-05-16,40000.0,34500.0
2018-05-17,40000.0,34500.0
2018-05-18,40000.0,34500.0
2018-05-21,38000.0,34500.0
2018-05-22,38000.0,34500.0
2018-05-23,38000.0,37000.0
2018-05-24,38000.0,37000.0
2018-05-25,40000.0,37000.0
2018-05-28,40000.0,36000.0
2018-05-29,40000.0,36000.0
2018-05-30,40000.0,36000.0
2018-05-31,40000.0,36500.0
2018-06-01,40986.867343362304,36450.93561638425
2018-06-04,40000.0,36000.0
2018-06-05,36000.0,37000.0
2018-06-06,36000.0,37000.0
2018-06-07,37500.0,37000.0
2018-06-08,40000.0,37000.0
2018-06-11,40000.0,38000.0
2018-06-12,40000.0,38000.0
2018-06-13,40000.0,38000.0
