tanggal,pasar manis,pasar wage
2017-12-12,34500.0,33500.0
2017-12-13,34500.0,34000.0
2017-12-14,34500.0,33500.0
2017-12-15,34500.0,34000.0
2017-12-18,34500.0,34000.0
2017-12-19,34500.0,35000.0
2017-12-20,34500.0,35000.0
2017-12-21,34500.0,35000.0
2017-12-22,34500.0,35000.0
2017-12-25,34500.0,35000.0
2017-12-26,34500.0,35500.0
2017-12-27,36000.0,35000.0
2017-12-28,36000.0,35000.0
2017-12-29,36000.0,35000.0
2018-01-01,36000.0,36000.0
2018-01-02,36000.0,36000.0
2018-01-03,35000.0,35500.0
2018-01-04,35000.0,35500.0
2018-01-05,35000.0,35500.0
2018-01-08,36000.0,35500.0
2018-01-09,36000.0,35500.0
2018-01-10,36000.0,36000.0
2018-01-11,36000.0,36000.0
2018-01-12,36000.0,36000.0
2018-01-15,36000.0,36000.0
2018-01-16,36000.0,36000.0
2018-01-17,36000.0,36000.0
2018-01-18,36000.0,36000.0
2018-01-19,36000.0,36000.0
2018-01-22,36000.0,35000.0
2018-01-23,36000.0,35000.0
2018-01-24,36000.0,35000.0
2018-01-25,35500.0,35000.0
2018-01-26,35500.0,33500.0
2018-01-29,35000.0,33000.0
2018-01-30,34000.0,32500.0
2018-01-31,34000.0,33000.0
2018-02-01,34000.0,33000.0
2018-02-02,34000.0,33000.0
2018-02-05,34000.0,33500.0
2018-02-06,34000.0,34000.0
2018-02-07,34000.0,34000.0
2018-02-08,34000.0,33500.0
2018-02-09,34000.0,34000.0
2018-02-12,34500.0,33500.0
2018-02-13,34500.0,34000.0
2018-02-14,34500.0,33000.0
2018-02-15,34500.0,33000.0
2018-02-16,34500.0,33000.0
2018-02-19,34000.0,32000.0
2018-02-20,34000.0,32000.0
2018-02-21,33000.0,32000.0
2018-02-22,33000.0,32000.0
2018-02-23,33000.0,32000.0
2018-02-26,33000.0,32000.0
2018-02-27,32500.0,32000.0
2018-02-28,32500.0,32000.0
2018-03-01,33000.0,32000.0
2018-03-02,33000.0,32000.0
2018-03-05,33000.0,32000.0
2018-03-06,33000.0,32000.0
2018-03-07,33000.0,33000.0
2018-03-08,33000.0,33000.0
2018-03-09,33500.0,33500.0
2018-03-12,35500.0,34000.0
2018-03-13,35500.0,34000.0
2018-03-14,35500.0,34000.0
2018-03-15,35500.0,34000.0
2018-03-16,35500.0,34000.0
2018-03-19,35500.0,34000.0
2018-03-20,35500.0,34000.0
2018-03-21,35500.0,34000.0
2018-03-22,35500.0,34000.0
2018-03-23,35000.0,33500.0
2018-03-26,35000.0,33000.0
2018-03-27,35000.0,33500.0
2018-03-28,35000.0,33000.0
2018-03-29,35000.0,33000.0
2018-03-30,35000.0,33500.0
2018-04-02,34500.0,33500.0
2018-04-03,34500.0,33500.0
2018-04-04,34500.0,33500.0
2018-04-05,34500.0,33500.0
2018-04-06,34500.0,33500.0
2018-04-09,34500.0,33500.0
2018-04-10,34500.0,34000.0
2018-04-11,34500.0,34000.0
2018-04-12,34500.0,34000.0
2018-04-13,35500.0,34000.0
